"",description
322,"(0.10602678571428571, 0.4171875)"
323,"(0.007284382284382278, 0.46817016317016324)"
324,"(-0.013030303030303045, 0.20462121212121215)"
325,"(0.23157142857142854, 0.43614285714285717)"
326,"(0.25833333333333336, 0.38333333333333336)"
327,"(0.21292452830188674, 0.45511230907457306)"
328,"(0.17058823529411768, 0.4602941176470589)"
329,"(0.04545454545454545, 0.19913419913419914)"
330,"(0.03333333333333333, 0.06666666666666667)"
331,"(0.0, 0.0)"
332,"(0.4, 0.8)"
333,"(0.29000000000000004, 0.41000000000000003)"
334,"(0.16831472620946306, 0.46100244784455313)"
335,"(-0.09999999999999999, 0.5285714285714286)"
336,"(0.1099663299663299, 0.43736037624926516)"
337,"(0.09453125000000001, 0.253125)"
338,"(0.11073089168327264, 0.3853949401568449)"
339,"(0.20421392312511547, 0.5161326681448634)"
340,"(0.4175, 0.675)"
341,"(0.06201665566072345, 0.5008158508158508)"
342,"(0.15522186147186148, 0.4283279220779221)"
343,"(0.019047619047619053, 0.39999999999999997)"
344,"(0.2677083333333333, 0.4035087719298246)"
345,"(0.06308080808080808, 0.3993434343434344)"
346,"(0.14691761363636363, 0.4077462121212122)"
347,"(0.3587012987012987, 0.6182467532467532)"
348,"(0.11666666666666667, 0.4464285714285715)"
349,"(0.16380742913000979, 0.5111681329423265)"
350,"(0.0, 0.0)"
351,"(0.17581205311542392, 0.522811420788949)"
352,"(0.21250000000000002, 0.48333333333333334)"
353,"(0.12954545454545455, 0.3255681818181818)"
354,"(0.2896103896103896, 0.4779220779220779)"
355,"(0.1015873015873016, 0.4920634920634921)"
356,"(0.07719494047619048, 0.46884920634920635)"
357,"(0.18333333333333332, 0.39098639455782314)"
358,"(0.12970238095238096, 0.4303690476190477)"
359,"(0.0, 0.0)"
360,"(0.13963317384370014, 0.4169059011164274)"
361,"(0.0, 0.1)"
362,"(0.22652645861601084, 0.50237734901914)"
363,"(0.0, 0.0)"
364,"(0.15454545454545457, 0.45681818181818185)"
365,"(0.03333333333333333, 0.15555555555555556)"
366,"(0.04617376294591483, 0.48710522951029267)"
367,"(-0.05747694334650857, 0.5233860342555995)"
368,"(0.13576555023923442, 0.3876395534290271)"
369,"(0.08333333333333334, 0.30393772893772897)"
370,"(0.2919191919191919, 0.39023569023569027)"
371,"(0.06057142857142856, 0.5431428571428571)"
372,"(0.12441188197767143, 0.44300239234449773)"
373,"(0.02385454545454545, 0.4511151515151516)"
374,"(0.10530303030303029, 0.2805860805860806)"
375,"(0.3375, 0.54)"
376,"(0.17229922854922858, 0.4884435009435008)"
377,"(0.010416666666666664, 0.30208333333333337)"
378,"(0.0, 0.0)"
379,"(0.19292929292929292, 0.38383838383838387)"
380,"(0.0704064454064454, 0.3790223665223665)"
381,"(-0.4, 0.4)"
382,"(0.1597826086956522, 0.43985507246376804)"
383,"(0.14447132573065413, 0.4565446576640606)"
384,"(-0.041650432900432896, 0.5664880952380952)"
385,"(0.12996894409937887, 0.31537267080745346)"
386,"(0.12274011299435028, 0.4854519774011301)"
387,"(0.10314814814814816, 0.5157407407407407)"
388,"(0.23664992952783653, 0.555822762508809)"
389,"(0.10563275613275615, 0.387072039072039)"
390,"(0.07500000000000001, 0.3)"
391,"(0.0, 0.16666666666666666)"
392,"(0.0, 0.16666666666666666)"
393,"(1.0, 0.3)"
394,"(0.13149250440917112, 0.42528659611992947)"
395,"(0.0, 0.06666666666666667)"
396,"(0.1, 0.4)"
397,"(0.14287101787101789, 0.46068376068376066)"
398,"(0.11666666666666668, 0.47424242424242424)"
399,"(0.13571428571428573, 0.48928571428571427)"
400,"(0.08194444444444444, 0.3763888888888889)"
401,"(-0.16666666666666666, 0.06666666666666667)"
402,"(0.04814814814814815, 0.43796296296296294)"
403,"(0.1824603174603175, 0.388083028083028)"
404,"(0.15477272727272726, 0.39197658402203855)"
405,"(0.2843033509700177, 0.44047619047619047)"
406,"(0.16973792989417988, 0.4402281746031746)"
407,"(0.10609893578643578, 0.44251273899711396)"
408,"(0.21164772727272727, 0.38413825757575754)"
409,"(0.2060780885780886, 0.4726931401931401)"
410,"(0.25, 0.25)"
411,"(0.26363636363636367, 0.3977272727272727)"
412,"(0.18492902446390816, 0.3850976542837008)"
413,"(0.12601817042606517, 0.29093045112781946)"
414,"(0.2833333333333333, 0.4166666666666667)"
415,"(0.1387626262626263, 0.42500801667468335)"
416,"(0.179503367003367, 0.30990860990860986)"
417,"(0.21151315789473682, 0.4175438596491228)"
418,"(0.10575757575757576, 0.4464935064935066)"
419,"(0.20833333333333331, 0.4341666666666667)"
420,"(0.14772727272727273, 0.20075757575757577)"
421,"(0.1353133608815427, 0.3757649547422275)"
422,"(0.16586383313656042, 0.44140253685708225)"
423,"(0.12050000000000001, 0.24116666666666667)"
424,"(0.19603174603174606, 0.5317460317460317)"
425,"(-0.05, 0.4)"
426,"(0.2033333333333333, 0.4766666666666667)"
427,"(0.23367003367003372, 0.39865319865319865)"
428,"(0.52, 0.5)"
429,"(0.13747877939054412, 0.4508477633477632)"
430,"(0.17186147186147188, 0.13636363636363638)"
431,"(0.19749999999999998, 0.6)"
432,"(0.1021424062049062, 0.41800685425685435)"
433,"(0.19729437229437227, 0.2999098124098124)"
434,"(0.11710437710437709, 0.29343434343434344)"
435,"(0.11224482924482926, 0.47165560365560366)"
436,"(0.19999999999999998, 0.48901098901098905)"
437,"(0.2107142857142857, 0.5607142857142857)"
438,"(0.28169642857142857, 0.4628968253968254)"
439,"(0.21647186147186145, 0.6129220779220781)"
440,"(0.0, 0.0)"
441,"(0.06201665566072345, 0.5008158508158508)"
442,"(0.2206228956228956, 0.3569023569023569)"
443,"(0.352797619047619, 0.5652380952380953)"
444,"(0.1607830232830233, 0.5081425331425332)"
445,"(0.06201665566072345, 0.5008158508158508)"
446,"(0.024999999999999994, 0.35)"
447,"(0.13735546232459822, 0.4718011389616329)"
448,"(0.0, 1.0)"
449,"(0.10208333333333333, 0.44375)"
450,"(0.1994642857142857, 0.3721428571428571)"
451,"(0.18075757575757573, 0.5553030303030302)"
452,"(0.20626529267833615, 0.412807120415816)"
453,"(0.006434183100849765, 0.39151194484527824)"
454,"(0.0, 0.0)"
455,"(0.01131313131313132, 0.4197474747474748)"
456,"(0.17456416011971568, 0.45930041152263373)"
457,"(0.14985795454545453, 0.3693181818181818)"
458,"(0.03844696969696971, 0.4285037878787879)"
459,"(0.23575937950937956, 0.45135281385281373)"
460,"(0.18112155388471177, 0.4168734335839599)"
461,"(0.4227272727272728, 0.5233766233766234)"
462,"(0.1111111111111111, 0.34444444444444444)"
463,"(0.27632575757575756, 0.4390151515151515)"
464,"(0.19935897435897437, 0.3583333333333334)"
465,"(-0.0031249999999999993, 0.371875)"
466,"(0.2216827364554637, 0.5589039748130658)"
467,"(0.19, 0.4696491228070176)"
468,"(0.0, 0.275)"
469,"(-0.16666666666666666, 0.3333333333333333)"
470,"(0.03939393939393939, 0.4257575757575758)"
471,"(0.10696505875077303, 0.30044063079777367)"
472,"(0.0, 0.0)"
473,"(0.19387875717662953, 0.45807159743329956)"
474,"(0.15666666666666668, 0.38833333333333336)"
475,"(0.1694805194805195, 0.3476190476190476)"
476,"(0.375, 0.7)"
477,"(-0.011824769433465086, 0.45563241106719365)"
478,"(0.22027777777777777, 0.4883333333333334)"
479,"(0.12222222222222223, 0.2714285714285714)"
